"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 03 17:06:25 SGT 2024","Fri May 03 17:06:25 SGT 2024","94","cases","test_score","","","","test_score_invalid_score[-1-Tom-tom@gmail.com-Teacher]",""
"broken","Fri May 03 17:06:27 SGT 2024","Fri May 03 17:06:27 SGT 2024","1","cases","test_score","","","","test_score_invalid_name[name6-tom@gmail.com-99-Teacher]",""
"passed","Fri May 03 17:06:26 SGT 2024","Fri May 03 17:06:26 SGT 2024","82","cases","test_score","","","","test_score_invalid_email[1@@3-Tom-99-Teacher]",""
"passed","Fri May 03 17:06:24 SGT 2024","Fri May 03 17:06:24 SGT 2024","84","cases","test_score","","","","test_score_valid[100-Helper-Tom-tom@gmail.com]",""
"passed","Fri May 03 17:06:27 SGT 2024","Fri May 03 17:06:27 SGT 2024","90","cases","test_score","","","","test_score_invalid_name[name4-tom@gmail.com-99-Teacher]",""
"passed","Fri May 03 17:06:25 SGT 2024","Fri May 03 17:06:26 SGT 2024","67","cases","test_score","","","","test_score_invalid_email[-Tom-99-Teacher]",""
"broken","Fri May 03 17:06:25 SGT 2024","Fri May 03 17:06:25 SGT 2024","1","cases","test_score","","","","test_score_invalid_score[score9-Tom-tom@gmail.com-Teacher]",""
"passed","Fri May 03 17:06:26 SGT 2024","Fri May 03 17:06:26 SGT 2024","59","cases","test_score","","","","test_score_invalid_email[123-Tom-99-Teacher]",""
"passed","Fri May 03 17:06:26 SGT 2024","Fri May 03 17:06:27 SGT 2024","72","cases","test_score","","","","test_score_invalid_name[name3-tom@gmail.com-99-Teacher]",""
"broken","Fri May 03 17:06:25 SGT 2024","Fri May 03 17:06:25 SGT 2024","10","cases","test_score","","","","test_score_invalid_role[role7-Tom-tom@gmail.com-100]",""
"passed","Fri May 03 17:06:26 SGT 2024","Fri May 03 17:06:26 SGT 2024","65","cases","test_score","","","","test_score_invalid_email[123@-Tom-99-Teacher]",""
"passed","Fri May 03 17:06:26 SGT 2024","Fri May 03 17:06:26 SGT 2024","85","cases","test_score","","","","test_score_invalid_email[email8-Tom-99-Teacher]",""
"passed","Fri May 03 17:06:27 SGT 2024","Fri May 03 17:06:27 SGT 2024","79","cases","test_score","","","","test_score_invalid_name[name5-tom@gmail.com-99-Teacher]",""
"passed","Fri May 03 17:06:25 SGT 2024","Fri May 03 17:06:25 SGT 2024","76","cases","test_score","","","","test_score_invalid_score[3.04-Tom-tom@gmail.com-Teacher]",""
"passed","Fri May 03 17:06:25 SGT 2024","Fri May 03 17:06:25 SGT 2024","76","cases","test_score","","","","test_score_invalid_score[101-Tom-tom@gmail.com-Teacher]",""
"passed","Fri May 03 17:06:26 SGT 2024","Fri May 03 17:06:26 SGT 2024","75","cases","test_score","","","","test_score_invalid_email[@123-Tom-99-Teacher]",""
"passed","Fri May 03 17:06:26 SGT 2024","Fri May 03 17:06:26 SGT 2024","67","cases","test_score","","","","test_score_invalid_name[-tom@gmail.com-99-Teacher]",""
"passed","Fri May 03 17:06:26 SGT 2024","Fri May 03 17:06:26 SGT 2024","81","cases","test_score","","","","test_score_invalid_name[123-tom@gmail.com-99-Teacher]",""
"passed","Fri May 03 17:06:24 SGT 2024","Fri May 03 17:06:25 SGT 2024","79","cases","test_score","","","","test_score_invalid_role[role6-Tom-tom@gmail.com-100]",""
"passed","Fri May 03 17:06:25 SGT 2024","Fri May 03 17:06:25 SGT 2024","69","cases","test_score","","","","test_score_invalid_score[12-Tom-tom@gmail.com-Teacher]",""
"broken","Fri May 03 17:06:26 SGT 2024","Fri May 03 17:06:26 SGT 2024","1","cases","test_score","","","","test_score_invalid_email[email9-Tom-99-Teacher]",""
"passed","Fri May 03 17:06:26 SGT 2024","Fri May 03 17:06:26 SGT 2024","70","cases","test_score","","","","test_score_invalid_email[email7-Tom-99-Teacher]",""
"passed","Fri May 03 17:06:25 SGT 2024","Fri May 03 17:06:25 SGT 2024","69","cases","test_score","","","","test_score_invalid_score[score7-Tom-tom@gmail.com-Teacher]",""
"passed","Fri May 03 17:06:24 SGT 2024","Fri May 03 17:06:24 SGT 2024","71","cases","test_score","","","","test_score_invalid_role[-Tom-tom@gmail.com-100]",""
"passed","Fri May 03 17:06:26 SGT 2024","Fri May 03 17:06:26 SGT 2024","77","cases","test_score","","","","test_score_invalid_name[None-tom@gmail.com-99-Teacher]",""
"passed","Fri May 03 17:06:24 SGT 2024","Fri May 03 17:06:24 SGT 2024","126","cases","test_score","","","","test_score_valid[0-Teacher-Tom-tom@gmail.com]",""
"passed","Fri May 03 17:06:26 SGT 2024","Fri May 03 17:06:26 SGT 2024","68","cases","test_score","","","","test_score_invalid_email[email6-Tom-99-Teacher]",""
"passed","Fri May 03 17:06:24 SGT 2024","Fri May 03 17:06:24 SGT 2024","80","cases","test_score","","","","test_score_valid[1-Student-Tom-tom@gmail.com]",""
"passed","Fri May 03 17:06:24 SGT 2024","Fri May 03 17:06:24 SGT 2024","74","cases","test_score","","","","test_score_invalid_role[Professor-Tom-tom@gmail.com-100]",""
"passed","Fri May 03 17:06:24 SGT 2024","Fri May 03 17:06:24 SGT 2024","81","cases","test_score","","","","test_score_invalid_role[12-Tom-tom@gmail.com-100]",""
"passed","Fri May 03 17:06:25 SGT 2024","Fri May 03 17:06:25 SGT 2024","88","cases","test_score","","","","test_score_invalid_score[score8-Tom-tom@gmail.com-Teacher]",""
"passed","Fri May 03 17:06:24 SGT 2024","Fri May 03 17:06:24 SGT 2024","80","cases","test_score","","","","test_score_invalid_role[None-Tom-tom@gmail.com-100]",""
"passed","Fri May 03 17:06:24 SGT 2024","Fri May 03 17:06:24 SGT 2024","67","cases","test_score","","","","test_score_invalid_role[role4-Tom-tom@gmail.com-100]",""
"passed","Fri May 03 17:06:25 SGT 2024","Fri May 03 17:06:25 SGT 2024","77","cases","test_score","","","","test_score_invalid_score[score6-Tom-tom@gmail.com-Teacher]",""
"passed","Fri May 03 17:06:25 SGT 2024","Fri May 03 17:06:25 SGT 2024","78","cases","test_score","","","","test_score_invalid_score[True-Tom-tom@gmail.com-Teacher]",""
